student_code,email,discipline,lifecycle_status
S000011,student.120@nus.edu.sg,medicine,pending_onboarding
S000015,student.140@nus.edu.sg,medicine,pending_onboarding
S000019,student.810@nus.edu.sg,medicine,pending_onboarding
S000113,student.1210@nus.edu.sg,medicine,pending_onboarding
S000117,student.1610@nus.edu.sg,medicine,pending_onboarding
S000211,student.2100@nus.edu.sg,medicine,pending_onboarding
S000215,student.2140@nus.edu.sg,medicine,pending_onboarding
S000219,student.218@nus.edu.sg,medicine,pending_onboarding
S000313,student.3120@nus.edu.sg,medicine,pending_onboarding
S000137,student.3160@nus.edu.sg,medicine,pending_onboarding
S000141,student.4010@nus.edu.sg,medicine,pending_onboarding
S000415,student.4140@nus.edu.sg,medicine,pending_onboarding
S000149,student.4180@nus.edu.sg,medicine,pending_onboarding
